Participant,Total duration of fixation in AOI-DA,Share of Total Time (%)- DA,Total duration of fixation in AOI- Original,Share of Total Time (%)- Original,Average duration of fixation in AOI- DA,Average duration of fixation in AOI-Original,Number of fixations in AOI- DA,Number of fixations in AOI-Original,Time to first fixation in AOI-DA,Time to first fixation in AOI-Original,Duration of first fixation in AOI-DA,Duration of first fixation in AOI-Original,Total duration of Visit-DA,Total duration of Visit-Original,Average duration of Visit-DA,Average duration of Visit-Original,Number of Visits-DA,Number of Visits-Original,Label
2,1.459166,0.312604511,7.955499,1.704346778,0.291833,0.662958,5,12,344.329545,345.328956,0.21988,0.119931,1.51913,8.615097,0.759565,2.153774,2,4,1
2,1.519112,0.325447045,5.356937,1.147643701,0.379778,0.669617,4,8,361.919515,362.639112,0.379792,0.219863,1.63904,5.396921,0.546347,0.899487,3,6,1
2,1.139383,0.244095781,7.195911,1.5416164,0.569692,0.654174,2,11,374.572298,375.33188,0.719613,0.339805,1.139383,7.35578,0.569692,1.225963,2,6,4
2,4.377491,0.937812032,12.453057,2.667881371,0.625356,1.037755,7,12,410.811657,414.909303,1.41918,0.439756,4.43747,12.552878,1.109368,1.793268,4,7,5
3,1.559098,0.321079583,19.708763,4.058809268,0.31182,0.703884,5,28,11.783263,12.682741,0.159914,0.119963,1.559098,20.788153,0.31182,2.969736,5,7,5
3,1.919037,0.395205177,13.252438,2.729198082,0.383807,0.736247,5,18,51.100752,51.360613,0.219878,0.219861,1.9389,14.091914,0.484725,3.522978,4,4,5
3,1.699103,0.349912118,10.274079,2.115836852,0.212388,1.027408,8,10,76.366274,76.626136,0.199879,0.199879,1.739071,10.553937,0.289845,1.75899,6,6,5
3,1.838958,0.378713762,11.313518,2.329898214,0.306493,0.754235,6,15,99.632928,100.252579,0.219878,0.539673,1.898922,11.713304,0.47473,2.928326,4,4,5
3,3.158231,0.650403947,17.989675,3.704781453,0.394779,0.691911,8,26,123.03948,123.439269,0.339808,0.259842,3.318112,18.80917,0.663622,3.134862,5,6,5
3,3.078235,0.633929625,12.352973,2.543962871,0.342026,0.686276,9,18,160.438,160.717826,0.219878,0.279859,3.118201,13.092483,0.445457,2.618497,7,5,5
3,3.158185,0.650394474,13.752126,2.832103489,0.394773,1.057856,8,13,187.422481,188.082095,0.199878,0.459741,3.258148,14.591655,0.814537,3.647914,4,4,5
3,2.038835,0.419876295,15.171232,3.124353215,0.339806,0.583509,6,26,216.88553,217.065427,0.139916,0.239845,2.058834,15.970806,0.411767,2.661801,5,6,5
3,1.119363,0.230520856,10.993785,2.264052617,0.223873,0.57862,5,19,246.508467,246.788309,0.219878,0.279842,1.139347,11.393434,0.284837,2.848358,4,4,5
3,0.779582,0.160546588,13.092396,2.696239141,0.389791,0.523696,2,25,267.216519,267.696244,0.179914,0.359789,0.779582,14.431673,0.389791,4.810558,2,3,5
3,4.57738,0.942662529,9.674433,1.992346162,0.286086,0.537468,16,18,296.419682,297.239211,0.219877,0.279842,4.877176,10.134133,0.812863,2.026827,6,5,1
3,2.198709,0.452800638,13.692107,2.819743217,0.366452,1.053239,6,13,322.244779,321.745073,0.239858,0.179926,2.258676,13.991903,0.564669,3.497976,4,4,5
3,1.858918,0.382824311,11.313491,2.329892654,0.232365,0.754233,8,15,348.249754,348.429666,0.119928,0.459736,1.918898,11.693247,0.38378,2.923312,5,4,5
3,0.899554,0.18525354,15.571015,3.206684255,0.179911,1.112215,5,14,371.076559,371.3764,0.219921,0.499704,0.919539,15.990728,0.229885,3.198146,4,5,4
3,2.418566,0.49807784,12.252959,2.523366056,0.345509,0.942535,7,13,399.819949,400.779396,0.179881,0.359789,2.498529,12.672652,0.624632,4.224217,4,3,5
3,3.318082,0.683323554,8.634975,1.778280888,0.474012,0.616784,7,14,425.085328,425.904859,0.779535,0.179882,3.358065,9.014778,0.671613,1.802956,5,5,1
3,1.219298,0.251101402,7.93546,1.634223243,0.304824,0.61042,4,13,447.272485,447.712226,0.259844,1.099373,1.219298,8.135296,0.304824,2.033824,4,4,5
3,1.85891,0.382822663,6.356315,1.309015195,0.371782,0.794539,5,8,466.901106,467.320877,0.359791,1.079374,1.85891,6.616155,0.371782,3.308078,5,2,5
3,1.639039,0.337542579,6.776133,1.395472228,0.327808,0.847017,5,8,483.051745,483.731361,0.199894,0.439754,1.758973,6.995948,0.879486,3.497974,2,2,5
3,2.578519,0.531018452,8.854892,1.823570445,0.36836,0.80499,7,11,500.561584,501.421109,0.17991,1.019393,2.638469,9.034761,0.659617,3.011587,4,3,5
3,1.918894,0.395175727,10.014198,2.062317136,0.274128,0.834516,7,12,10.643862,12.023048,0.179882,0.279858,2.158735,10.274041,0.539684,3.42468,4,3,1
3,3.358029,0.691550212,6.815981,1.403678498,0.419754,0.973712,8,7,35.269601,35.509461,0.199879,0.199879,3.617886,7.115837,0.904472,1.778959,4,4,1
